,ID,Comp,Abstract,Importance,,实验二模型评估等级
6884,7734,UI,system be shut warning ,P1 critical (vote)  ,,1
7239,8089,Compare,replace history parse error ,P1 critical (vote)  ,,1
7415,8265,Debug,assertionfailedexception code completion javasnippeteditor displayview ,P1 critical (vote)  ,,1
7468,8318,Debug,error occur menu debug debug history ,P1 critical (vote)  ,,1
7514,8364,Debug,breakpoints appear breakpointsview ,P1 critical (vote)  ,,1
7596,8446,Debug,breakpoints remove ruler arent remove breakpointmanager ,P1 critical (vote)  ,,1
8176,9026,Debug,compilation error breakpoints be show breakpoints view ,P1 critical (vote)  ,,1
8477,9327,Debug,javadebugoptionsmanager startup load breakpoints resource change ,P1 critical (vote)  ,,1
8546,9396,Debug,npe breakpoint action ,P1 critical (vote)  ,,1
8648,9498,UI,synchronize version plugin fragment fails ,P1 critical (vote)  ,,1
8741,9591,Debug,exception compiler pref page ,P1 critical (vote)  ,,1
8776,9626,Debug,concurrentmodificationexception jdidebugtargetcansuspend ,P1 critical (vote)  ,,1
8818,9668,Debug,method breakpoints enable source method ,P1 critical (vote)  ,,1
8854,9704,Debug,npe shutdown breakpointsview ,P1 critical (vote)  ,,1
742,1578,Debug,readme breakpoints class name gdxngo ,P1 enhancement (vote)  ,,1
5520,6370,Debug,breakpoint property dialog ,P1 enhancement (vote)  ,,1
2742,3578,Debug,dcr enabledisable breakpoint ruler java editor gfqdy ,P1 major (vote)  ,,1
6235,7085,Core,error add junit example project ,P1 major (vote)  ,,1
6335,7185,Debug,highlighting line debugger be operate work ,P1 major (vote)  ,,1
6861,7711,Resources,error start eclipse instal directory character ,P1 major (vote)  ,,1
7213,8063,Debug,npe breakpointsview closing workbench ,P1 major (vote)  ,,1
7656,8506,Resources,startup fail metadata be ,P1 major (vote)  ,,1
7893,8743,Debug,step breakpoint proceeds ,P1 major (vote)  ,,1
7908,8758,Core,pointer exception eclipse core compile java code ,P1 major (vote)  ,,1
9135,9985,Core,build compiler object call interface ,P1 major (vote)  ,,1
840,1676,Debug,debugger hang have kill gitcy ,P1 minor (vote)  ,,1
893,1729,Debug,hcr compilation error gkf ,P1 minor (vote)  ,,1
4753,5603,UI,tvt jar file export error message construct nl jarfileexportoperationexportedwithcompile ,P1 minor (vote)  ,,1
4955,5805,Resources,error type output folder project dialog ,P1 minor (vote)  ,,1
6605,7455,Core,build problem instance name match constructor parameter name assignment thisname try block ,P1 minor (vote)  ,,1
777,1613,Debug,debugger vm launch error display getdgz ,P1 normal (vote)  ,,1
832,1668,Debug,stop exception be scoped ghouoq ,P1 normal (vote)  ,,1
833,1669,Debug,breakpoints method declaration instal ghowc ,P1 normal (vote)  ,,1
857,1693,Debug,breakpoints givkp ,P1 normal (vote)  ,,1
920,1756,Debug,breakpoints instal class name glclbw ,P1 normal (vote)  ,,1
1467,2303,UI,cannot file default text editor genoz ,P1 normal (vote)  ,,1
2400,3236,Core,test need test image builder gcunzc ,P1 normal (vote)  ,,1
2467,3303,Core,error add project repository install gfpu ,P1 normal (vote)  ,,1
2485,3321,Core,add miss source folder doesnt remove warning ggccp ,P1 normal (vote)  ,,1
2577,3413,Core,jck binc detection incompatibleclasschangeerror gkvca ,P1 normal (vote)  ,,1
3294,4130,Debug,eclipse debugger set breakpoints keyboard gitilh ,P1 normal (vote)  ,,1
3404,4241,UI,assertionfailedexception gkevhe ,P1 normal (vote)  ,,1
3736,4576,Debug,error class name ,P1 normal (vote)  ,,1
4078,4919,Core,cannot duplicate variable block ,P1 normal (vote)  ,,1
4084,4926,Debug,exception doubleclicking breakpoint ,P1 normal (vote)  ,,1
4101,4943,Core,verification error ,P1 normal (vote)  ,,1
4109,4951,Debug,breakpoints remain target terminates ,P1 normal (vote)  ,,1
4110,4952,Debug,breakpoints line ,P1 normal (vote)  ,,1
4113,4955,Debug,hit count breakpoint do reenable ,P1 normal (vote)  ,,1
4236,5083,Debug,breakpoint hit ,P1 normal (vote)  ,,1
4267,5115,Debug,workspace source locator fail package fragment ,P1 normal (vote)  ,,1
4291,5139,Debug,remove snippetsupportbreakpoint ,P1 normal (vote)  ,,1
4294,5142,Debug,error relaunch ,P1 normal (vote)  ,,1
4296,5144,Debug,error open display view ,P1 normal (vote)  ,,1
4314,5162,Debug,jsp breakpoints dont get remove ,P1 normal (vote)  ,,1
4408,5257,Debug,set breakpoint take ,P1 normal (vote)  ,,1
4411,5260,Debug,tvt property view debug process be miss substitution variable ,P1 normal (vote)  ,,1
4458,5307,Debug,tvt hardcoded category name debug orgeclipsedebuguipluginxml ,P1 normal (vote)  ,,1
4490,5340,Debug,cancel exception breakpoint have effect ,P1 normal (vote)  ,,1
4496,5346,Debug,debugger fail prompt source ,P1 normal (vote)  ,,1
4567,5417,Debug,test fail methodentrybreakpointteststestdeferredhitcount ,P1 normal (vote)  ,,1
4723,5573,Debug,classnotfoundexception run snippet debugger ,P1 normal (vote)  ,,1
4781,5631,Debug,breakpoint reinstall swap ,P1 normal (vote)  ,,1
4790,5640,Debug,launch java build path refs missing project ,P1 normal (vote)  ,,1
4816,5666,Debug,breakpoints do work class method ,P1 normal (vote)  ,,1
4824,5674,UI,error shut startup ,P1 normal (vote)  ,,1
4856,5706,Core,cannot add folder w name project build path java project ,P1 normal (vote)  ,,1
4940,5790,Core,ijavaprojecthasbuildstate fails builder ,P1 normal (vote)  ,,1
4947,5797,Build,zip program be call buildxml program be ,P1 normal (vote)  ,,1
4966,5816,Debug,resource tree lock error swap ,P1 normal (vote)  ,,1
4967,5817,Debug,breakpoint hit class ,P1 normal (vote)  ,,1
4968,5818,Debug,debugger source lookup page claim project be close ,P1 normal (vote)  ,,1
5004,5854,Debug,breakpoint marker delete notify breakpoint object ,P1 normal (vote)  ,,1
5045,5895,Debug,view shutdown ,P1 normal (vote)  ,,1
5046,5896,Debug,launchmanagervisitor shutdown ,P1 normal (vote)  ,,1
5052,5902,Debug,comsunjdiinternalexception remove breakpoint request ,P1 normal (vote)  ,,1
5057,5907,Core,error disk ,P1 normal (vote)  ,,1
5093,5943,Core,error set buildpath name collsion ,P1 normal (vote)  ,,1
5175,6025,Build,create buildmanifesttask log version include build ,P1 normal (vote)  ,,1
5234,6084,Debug,force load java breakpoints ,P1 normal (vote)  ,,1
5358,6208,Debug,log error plugin log ,P1 normal (vote)  ,,1
5439,6289,UI,npe poppingup menu breakpoints view ,P1 normal (vote)  ,,1
5452,6302,Core,assertionfailure selection ,P1 normal (vote)  ,,1
5476,6326,Debug,jdi virtualmachineclassesbyname fail array ,P1 normal (vote)  ,,1
5558,6408,Debug,attempt set breakpoint resource fails ,P1 normal (vote)  ,,1
5606,6456,Core,error compile access protect member innerclass ,P1 normal (vote)  ,,1
5639,6489,Debug,plugin version number incorrect ,P1 normal (vote)  ,,1
5644,6494,Core,builder error find package do match package ,P1 normal (vote)  ,,1
5669,6519,Debug,evaluation fail message method ,P1 normal (vote)  ,,1
5679,6529,Debug,exception build state scrapbook ,P1 normal (vote)  ,,1
5698,6548,Debug,miss mnemonic debug preference ,P1 normal (vote)  ,,1
5699,6549,Debug,miss mnemonic launcher property page ,P1 normal (vote)  ,,1
5773,6623,UI,thread problem plugin startup ,P1 normal (vote)  ,,1
5843,6693,Core,abstractimagebuildercompile throw arrayindexoutofboundsexception line build ,P1 normal (vote)  ,,1
5870,6720,UI,type fail javalangstringindexoutofboundsexception type name be ,P1 normal (vote)  ,,1
5957,6807,Debug,launch configuration crash proof ,P1 normal (vote)  ,,1
5964,6814,Debug,error dialog open type console ,P1 normal (vote)  ,,1
6001,6851,Debug,debugger click step tool disables step tool ,P1 normal (vote)  ,,1
6020,6870,Debug,error creation ,P1 normal (vote)  ,,1
6045,6895,Debug,breakpoints disappear reappear debug perspective ,P1 normal (vote)  ,,1
6099,6949,Debug,write lot data console crash eclipse overflow ,P1 normal (vote)  ,,1
6153,7003,Debug,debug menu launch incorrect program find selection ,P1 normal (vote)  ,,1
6157,7007,Debug,debugger leak memory ,P1 normal (vote)  ,,1
6240,7090,UI,error statement break taskview feature goto error editor ,P1 normal (vote)  ,,1
6283,7133,Debug,reference breakpoints view ,P1 normal (vote)  ,,1
6358,7208,Debug,variable tree collapse step ,P1 normal (vote)  ,,1
6405,7255,UI,rename foopluginjava crash ,P1 normal (vote)  ,,1
6412,7262,Team,miss nature cause check fail ,P1 normal (vote)  ,,1
6460,7310,Debug,jdi timeout exception debugger ,P1 normal (vote)  ,,1
6492,7342,Debug,miss resource string javaruntimesettingjreclasspathvariables ,P1 normal (vote)  ,,1
6508,7358,Compare,error compare patch file ,P1 normal (vote)  ,,1
6513,7363,Core,rebuild project action be compile java source file ,P1 normal (vote)  ,,1
6517,7367,UI,exception file system import wizard page ,P1 normal (vote)  ,,1
6524,7374,Team,need error report failure create cv connection ,P1 normal (vote)  ,,1
6575,7425,Debug,doubleclick breakpoint result error ,P1 normal (vote)  ,,1
6582,7432,UI,error open workspace build ,P1 normal (vote)  ,,1
6592,7442,Debug,freeze debug ,P1 normal (vote)  ,,1
6653,7503,Debug,breakpoints innerclass inner class be hit ,P1 normal (vote)  ,,1
6657,7507,Debug,debugger keyboard shortcut do work ,P1 normal (vote)  ,,1
6663,7513,Debug,terminate remove fails remove timeouts occur ,P1 normal (vote)  ,,1
6730,7580,Debug,abstractdebugeventhandler shutdown ,P1 normal (vote)  ,,1
6776,7626,Debug,widget be dispose error relaunching ,P1 normal (vote)  ,,1
6957,7807,Debug,breakpoint creation api use java element ,P1 normal (vote)  ,,1
7009,7859,Debug,feature method exit breakpoints ,P1 normal (vote)  ,,1
7012,7862,Debug,feature hide breakpoints ,P1 normal (vote)  ,,1
7014,7864,Debug,need api selection change debug view ,P1 normal (vote)  ,,1
7048,7898,Debug,divide zero crash eclipse ,P1 normal (vote)  ,,1
7163,8013,Debug,failure message frame drop fail hotswap ,P1 normal (vote)  ,,1
7289,8139,Debug,variable collapse step ,P1 normal (vote)  ,,1
7306,8156,Debug,incomaptibleclasschangeerror hotswapping field declaration ,P1 normal (vote)  ,,1
7473,8323,Debug,debugger source lookup dialog fix ,P1 normal (vote)  ,,1
7481,8331,Debug,miss mnemonic debugger source lookup ,P1 normal (vote)  ,,1
7487,8337,Debug,hotswap error dialog redefine class debug ,P1 normal (vote)  ,,1
7490,8340,Core,error message dependent project be close ,P1 normal (vote)  ,,1
7634,8484,Core,error search access ,P1 normal (vote)  ,,1
7680,8530,Core,error use assertion feature ,P1 normal (vote)  ,,1
7681,8531,Core,verifyerror code containing assertion ,P1 normal (vote)  ,,1
7784,8634,Debug,exception breakpoints persist ,P1 normal (vote)  ,,1
7829,8679,Debug,hit count ignore breakpoints ,P1 normal (vote)  ,,1
7833,8683,Debug,suspend attempt step system thread ,P1 normal (vote)  ,,1
7847,8697,Core,compiler bug operator operator be define type enclosing scope ,P1 normal (vote)  ,,1
7856,8706,Core,compile error compile class extend javaawtframe ,P1 normal (vote)  ,,1
7859,8709,Core,error compile jdk class ,P1 normal (vote)  ,,1
7923,8773,Core,verifyerror class file export vaj do run jdk gppet ,P1 normal (vote)  ,,1
7982,8832,Core,sanity check error error variable initializers ,P1 normal (vote)  ,,1
8007,8857,Compare,error have occur create editor ,P1 normal (vote)  ,,1
8050,8900,Core,search cause error ,P1 normal (vote)  ,,1
8064,8914,Debug,preference page string miss ,P1 normal (vote)  ,,1
8083,8933,SWT,error loaddefaultfont ,P1 normal (vote)  ,,1
8215,9065,Debug,wid opening editor breakpoint ,P1 normal (vote)  ,,1
8229,9079,Debug,breakpoints show ,P1 normal (vote)  ,,1
8251,9101,Core,parse error type java editor ,P1 normal (vote)  ,,1
8344,9194,Debug,attempt modify resource tree breakpointmanager ,P1 normal (vote)  ,,1
8373,9223,Core,failure type class file ,P1 normal (vote)  ,,1
8440,9290,Debug,feature pattern breakpoint ,P1 normal (vote)  ,,1
8545,9395,Core,classcastexception build ,P1 normal (vote)  ,,1
8548,9398,Core,compiler error array ,P1 normal (vote)  ,,1
8606,9456,Debug,assertionfailedexception attempt draw overlay breakpoints ,P1 normal (vote)  ,,1
8963,9813,Core,verifyerror class have constructor ,P1 normal (vote)  ,,1
9121,9971,Debug,debugger doesnt attach process ,P1 normal (vote)  ,,1
2047,2883,UI,dcr errordialog display plugin name gkbjrf ,P2 critical (vote)  ,,1
5975,6825,UI,exception cause eclipse crash ,P2 critical (vote)  ,,1
729,1565,Debug,hcr fail update target gdeycu ,P2 enhancement (vote)  ,,1
730,1566,Debug,run action miss package view outliner gdfvh ,P2 enhancement (vote)  ,,1
810,1646,Debug,feature resolution failure notification gfog ,P2 enhancement (vote)  ,,1
855,1691,Debug,feature set exception breakpoint gjfu ,P2 enhancement (vote)  ,,1
4103,4945,Debug,promote getbreakpoint ijavathread ithread ,P2 enhancement (vote)  ,,1
4729,5579,Debug,like option switch debug perspective breakpoint ,P2 enhancement (vote)  ,,1
5367,6217,Debug,render breakpoints context debug target ,P2 enhancement (vote)  ,,1
5764,6614,Debug,info misleading ,P2 enhancement (vote)  ,,1
5787,6637,Resources,eclipse java file file system ,P2 enhancement (vote)  ,,1
6829,7679,UI,autoload plugin startup ,P2 enhancement (vote)  ,,1
6379,7229,UI,surround trycatch block throw npe ,P2 major (vote)  ,,1
8372,9222,UI,swt error cause close ,P2 major (vote)  ,,1
8432,9282,UI,file selection failure file select be open editor view ,P2 major (vote)  ,,1
8913,9763,Core,code failure error method signaturegrvnr ,P2 major (vote)  ,,1
756,1592,Debug,debugplugin allow element geic ,P2 minor (vote)  ,,1
780,1616,Debug,vector evaluation error gfjat ,P2 minor (vote)  ,,1
899,1735,Debug,need breakpoint action editor ruler gkpu ,P2 minor (vote)  ,,1
912,1748,Debug,property sheet breakpoint synch glqe ,P2 minor (vote)  ,,1
2343,3179,Core,compiler lf cannot run class miss implementation interface fnfvy ,P2 minor (vote)  ,,1
2474,3310,Core,smoke compile error introduce rename refactoring gfbkg ,P2 minor (vote)  ,,1
8396,9246,UI,java editor setting failure ,P2 minor (vote)  ,,1
827,1663,Debug,miss tostring feature make debug ghwp ,P2 normal (vote)  ,,1
845,1681,Debug,make java debug plugin giggx ,P2 normal (vote)  ,,1
853,1689,Debug,debugger selects incorrect stack frame hcr giqj ,P2 normal (vote)  ,,1
859,1695,Debug,support processthread breakpoints giyjtq ,P2 normal (vote)  ,,1
881,1717,Debug,debug model model presentation issue gke ,P2 normal (vote)  ,,1
884,1720,Debug,issue breakpoint manager break plugin load rule gkkdta ,P2 normal (vote)  ,,1
905,1741,Debug,scrapbook action miss menu gkzc ,P2 normal (vote)  ,,1
2292,3128,Resources,resource restart workspace outofmemoryerror gkezv ,P2 normal (vote)  ,,1
2463,3299,Core,produce error rename source folder geymne ,P2 normal (vote)  ,,1
2473,3309,Core,dcr jm icompilationunitgettype throw jme gfal ,P2 normal (vote)  ,,1
2608,3444,Core,build problem marker set folder glanx ,P2 normal (vote)  ,,1
2612,3448,Core,error package collision default package gldm ,P2 normal (vote)  ,,1
3011,3847,Debug,run program fail project classpath gewkfo ,P2 normal (vote)  ,,1
3047,3883,Debug,error dialog display be gfyq ,P2 normal (vote)  ,,1
3461,4298,UI,jumpy behaviour addingremoving breakpoints gkzkjn ,P2 normal (vote)  ,,1
4077,4917,Core,build fail typehierarchy ,P2 normal (vote)  ,,1
4261,5109,Core,add project doesnt fix error ,P2 normal (vote)  ,,1
4287,5135,Core,java editor iresourceclass do error ,P2 normal (vote)  ,,1
4293,5141,Debug,breakpoint manager use marker api ,P2 normal (vote)  ,,1
4341,5189,Debug,breakpoints jsps name underscore ,P2 normal (vote)  ,,1
4358,5206,Text,formatter doesnt work stop thread debugger ,P2 normal (vote)  ,,1
4368,5217,Core,java search scope miss enclose project ,P2 normal (vote)  ,,1
4462,5311,Debug,miss debug information be convey ,P2 normal (vote)  ,,1
4491,5341,Core,error message shouldnt exception class ,P2 normal (vote)  ,,1
4676,5526,Core,nullpointerexception search declaration close ,P2 normal (vote)  ,,1
4739,5589,Debug,invalidstackframeexception update variable ,P2 normal (vote)  ,,1
4741,5591,Debug,debug perspective miss view shortcut ,P2 normal (vote)  ,,1
4763,5613,Debug,debugger hang hit breakpoints self hosting ,P2 normal (vote)  ,,1
4775,5625,Debug,miss accelerator detail pane orientation pref page ,P2 normal (vote)  ,,1
4803,5653,Debug,dcr debugger catch exception default ,P2 normal (vote)  ,,1
4808,5658,UI,jface text repeat failure case file ,P2 normal (vote)  ,,1
4831,5681,Debug,show debug doesnt reuse perspective ,P2 normal (vote)  ,,1
4896,5746,UI,pde error log view miss startup message ,P2 normal (vote)  ,,1
4984,5834,Core,build recompiled project ,P2 normal (vote)  ,,1
5170,6020,Ant,task call systemexit crash eclipse ,P2 normal (vote)  ,,1
5251,6101,Core,error class ,P2 normal (vote)  ,,1
5254,6104,Core,debugger highlight message expression ,P2 normal (vote)  ,,1
5360,6210,Core,creation fail error create source folder ,P2 normal (vote)  ,,1
5363,6213,Debug,breakpoints view improvement ,P2 normal (vote)  ,,1
5512,6362,UI,widget exception collapse view ,P2 normal (vote)  ,,1
5611,6461,Core,newbuilder doesnt detect locate compilation unit ,P2 normal (vote)  ,,1
5676,6526,Debug,error message fail inspect ,P2 normal (vote)  ,,1
5714,6564,Core,builder recompilation detect package problem ,P2 normal (vote)  ,,1
5800,6650,UI,preference faulty preference page cause preference page fail ,P2 normal (vote)  ,,1
5874,6724,Debug,hit count indication debug ui confuse ,P2 normal (vote)  ,,1
5891,6741,Debug,drop frame know fail ,P2 normal (vote)  ,,1
6096,6946,UI,startup error add editor ,P2 normal (vote)  ,,1
6162,7012,Debug,addbreakpointaction update breakpoint add action ,P2 normal (vote)  ,,1
6185,7035,Core,builder builder do close jar ,P2 normal (vote)  ,,1
6189,7039,UI,ctrl f java editor result assertionfailederror ,P2 normal (vote)  ,,1
6395,7245,Debug,debugger source lookup be control launch config ,P2 normal (vote)  ,,1
6465,7315,Debug,show debugger tool tip linux ,P2 normal (vote)  ,,1
6503,7353,Ant,run ant do allow embed string parse error ,P2 normal (vote)  ,,1
6561,7411,Debug,cannot add breakpoint super ,P2 normal (vote)  ,,1
6611,7461,Debug,show breakpoints button do show tooltip ,P2 normal (vote)  ,,1
6774,7624,UI,breakpoints source replace repository ,P2 normal (vote)  ,,1
6792,7642,UI,fail launch eclipse boot plugin be source ,P2 normal (vote)  ,,1
6853,7703,Debug,shell assume focus breakpoint be reach debugger ,P2 normal (vote)  ,,1
6953,7803,Debug,problem breakpoints change jre ,P2 normal (vote)  ,,1
7042,7892,UI,method incorrect loop error ,P2 normal (vote)  ,,1
7065,7915,Debug,breakpoint marker attribute need qualify name ,P2 normal (vote)  ,,1
7125,7975,Debug,vmdisconnectedexception shutdown ,P2 normal (vote)  ,,1
7307,8157,Debug,projectbuildwatcher be ,P2 normal (vote)  ,,1
7408,8258,UI,error message view be miss startup ,P2 normal (vote)  ,,1
7467,8317,UI,miss mnemonic javacompiler preference page ,P2 normal (vote)  ,,1
7480,8330,Debug,debugger source lookup dialog remain termination ,P2 normal (vote)  ,,1
7974,8824,Debug,debugger crash step program ,P2 normal (vote)  ,,1
8103,8953,Debug,editor open save debugger be stop breakpoint ,P2 normal (vote)  ,,1
8320,9170,Core,build problem ,P2 normal (vote)  ,,1
8323,9173,Core,exception miss orgeclipsecorebootclasspath file ,P2 normal (vote)  ,,1
8420,9270,Resources,error start help ,P2 normal (vote)  ,,1
9062,9912,Core,batch compiler doesnt put binary folder d be miss ,P2 normal (vote)  ,,1
9119,9969,Core,codeformatter bug format trycatch block ,P2 normal (vote)  ,,1
5026,5876,Resources,import crash cannot launch eclipse ,P3 blocker (vote)  ,,1
342,342,UI,dbcs plugin require section be miss korean gkkofs ,P3 critical (vote)  ,,1
752,1588,Debug,readme systemexit scrapbook geju ,P3 critical (vote)  ,,1
1612,2448,UI,component widget be dispose error close list gihy ,P3 critical (vote)  ,,1
2933,3769,UI,remove breakpoint class file geplcu ,P3 critical (vote)  ,,1
3124,3960,UI,review buildpathsblockupdatebuildpathstatus gfkqs ,P3 critical (vote)  ,,1
3280,4116,UI,jar export assertionfailedexception argument giryze ,P3 critical (vote)  ,,1
4728,5578,Team,pluginxml orgeclipsevcmuicvs have error ,P3 critical (vote)  ,,1
8226,9076,Debug,hcr error cause eclipes shutdown ,P3 critical (vote)  ,,1
8946,9796,Debug,build do set breakpoints attach jvm ,P3 critical (vote)  ,,1
9145,9995,Ant,specify eclipse compiler crash platform ,P3 critical (vote)  ,,1
8505,9355,Text,collapse function block code comment hide ,P3 critical with 76 votes (vote)  ,,1
687,1523,Debug,breakpoint location gfp ,P3 enhancement (vote)  ,,1
694,1530,Debug,inconsistent gui behavior breakpoints view gclub ,P3 enhancement (vote)  ,,1
709,1545,Debug,feature breakpoint group gancoz ,P3 enhancement (vote)  ,,1
716,1552,Debug,method entry breakpoints source type gcw ,P3 enhancement (vote)  ,,1
726,1562,Debug,suspend breakpointselect breakpoint gdpod ,P3 enhancement (vote)  ,,1
751,1587,Debug,need support set exception breakpoint string gehqo ,P3 enhancement (vote)  ,,1
848,1684,Debug,stand debugger gigvhc ,P3 enhancement (vote)  ,,1
1048,1884,UI,contribution miss category pluginaction enablesfor gaf ,P3 enhancement (vote)  ,,1
1077,1913,UI,rebuild save editor warning gcui ,P3 enhancement (vote)  ,,1
1216,2052,UI,build error info gduxnj ,P3 enhancement (vote)  ,,1
1336,2172,UI,dialog cannot error multi error dialog ,P3 enhancement (vote)  ,,1
1409,2245,Resources,opening closing project work delete filesystem geawrh ,P3 enhancement (vote)  ,,1
1529,2365,UI,default save modify resource build geuge ,P3 enhancement (vote)  ,,1
1660,2496,UI,fail system editor default gfbfc ,P3 enhancement (vote)  ,,1
1674,2510,UI,info error msg plugin editor gfdb ,P3 enhancement (vote)  ,,1
1679,2515,UI,improve error message part creation fail gfdmrh ,P3 enhancement (vote)  ,,1
1887,2723,UI,wizard cannot set default button page gike ,P3 enhancement (vote)  ,,1
1999,2835,UI,replace history class error cause marker editor disappear gkcho ,P3 enhancement (vote)  ,,1
2021,2857,Core,rename class error txt leaf error task list gkr ,P3 enhancement (vote)  ,,1
2592,3428,Core,dcr compiler warn exception gksz ,P3 enhancement (vote)  ,,1
4235,5082,Debug,breakpoint annotation bar disablingenabling breakpoints ,P3 enhancement (vote)  ,,1
4394,5243,UI,compilation unit class collapse package explorer render ,P3 enhancement (vote)  ,,1
4889,5739,Build,build pde template dont generate javadoc ,P3 enhancement (vote)  ,,1
4977,5827,Resources,importing project file system ,P3 enhancement (vote)  ,,1
5294,6144,Core,decouple project id filesystem ,P3 enhancement (vote)  ,,1
5372,6222,UI,compiler option need warn user use mode runtime misc ,P3 enhancement (vote)  ,,1
5649,6499,Resources,synchronize filesystem background ,P3 enhancement (vote)  ,,1
5797,6647,UI,miss require project show close classpath ,P3 enhancement (vote)  ,,1
6242,7092,UI,junit copy failure clipboard ,P3 enhancement (vote)  ,,1
6255,7105,Build,change request buildmanifest ,P3 enhancement (vote)  ,,1
6514,7364,UI,twostep compilation compilation unit fail do continue check cu ,P3 enhancement (vote)  ,,1
6702,7552,Debug,keep breakpoints rename resource ,P3 enhancement (vote)  ,,1
6905,7755,Debug,breakpoints pane highlight breakpoint debugger stop ,P3 enhancement (vote)  ,,1
6983,7833,Debug,breakpoint enhancement ,P3 enhancement (vote)  ,,1
7060,7910,Resources,eliminate startup penalty installation s plugins ,P3 enhancement (vote)  ,,1
7208,8058,Debug,report error user cannot be honour ,P3 enhancement (vote)  ,,1
7580,8430,Team,cv precommit fail report error message ,P3 enhancement (vote)  ,,1
7810,8660,Debug,allow suspend system thread ,P3 enhancement (vote)  ,,1
7841,8691,Debug,debugger have run cursor ,P3 enhancement (vote)  ,,1
8087,8937,Debug,feature request select breakpoints view ,P3 enhancement (vote)  ,,1
8161,9011,UI,show error editor build type ,P3 enhancement (vote)  ,,1
8223,9073,Debug,prompt build resource ,P3 enhancement (vote)  ,,1
8235,9085,Debug,int pubilc api breakpoint label icon ,P3 enhancement (vote)  ,,1
8295,9145,UI,default eclipse installation include diagnostics plugin ,P3 enhancement (vote)  ,,1
8547,9397,UI,association allow system editor choice default editor ,P3 enhancement (vote)  ,,1
8936,9786,UI,grvpducannot set source classpath variable level build path ,P3 enhancement with 1 vote (vote)  ,,1
2201,3037,Core,core error compile java class gejkq ,P3 major (vote)  ,,1
2462,3298,Core,incorrect compile error case statement geywet ,P3 major (vote)  ,,1
2927,3763,UI,add method entry breakpoints gep ,P3 major (vote)  ,,1
3128,3964,UI,jar packager error warning contain path gfmn ,P3 major (vote)  ,,1
3510,4347,UI,dismiss editor code assist cause lot error ggyywk ,P3 major (vote)  ,,1
4610,5460,Debug,error vm argument mx be ,P3 major (vote)  ,,1
6077,6927,Core,inner class wont compile doesnt match jdk behavior ,P3 major (vote)  ,,1
6334,7184,Core,build compiler do allow class initializers throw exception ,P3 major (vote)  ,,1
7729,8579,Debug,toggle detail pane jdk confuses debugger ,P3 major (vote)  ,,1
8772,9622,UI,cannot run runtimeworkbench build ,P3 major (vote)  ,,1
